Date(YYYY-MM-DD): 2021-1-24
Time(HH:MM:SS): 21:9:27
ID,YYYY,MM,DD,HH,MM,Temp[C],RH[%],DSTemp[C]
56,2021,1,25,6,19,23.20,48.20,23.81
57,2021,1,25,6,29,23.20,48.60,23.88
58,2021,1,25,6,39,23.20,48.40,23.81
59,2021,1,25,6,49,23.20,48.20,23.81
60,2021,1,25,6,59,23.20,48.10,23.81
61,2021,1,25,7,9,23.20,48.10,23.81
62,2021,1,25,7,19,23.20,48.60,23.88
63,2021,1,25,7,29,23.30,48.30,23.88
64,2021,1,25,7,39,23.30,49.00,23.94
65,2021,1,25,7,49,23.40,49.50,24.00
66,2021,1,25,7,59,23.40,49.90,24.00
67,2021,1,25,8,9,23.40,50.10,24.00
68,2021,1,25,8,19,23.40,49.60,24.00
69,2021,1,25,8,29,23.50,49.70,24.00
70,2021,1,25,8,39,23.50,50.10,24.06
71,2021,1,25,8,49,23.50,49.80,24.06
72,2021,1,25,8,59,23.50,49.70,24.00
73,2021,1,25,9,9,23.50,49.60,24.00
74,2021,1,25,9,19,23.50,49.60,24.06
75,2021,1,25,9,29,23.50,49.60,24.00
76,2021,1,25,9,39,23.30,47.70,23.88
Date(YYYY-MM-DD): 2021-1-25
Time(HH:MM:SS): 9:44:31
ID,YYYY,MM,DD,HH,MM,Temp[C],RH[%],DSTemp[C]
1,2021,1,25,9,44,23.30,46.80,23.81
Date(YYYY-MM-DD): 2021-1-25
Time(HH:MM:SS): 9:45:25
ID,YYYY,MM,DD,HH,MM,Temp[C],RH[%],DSTemp[C]
1,2021,1,25,9,45,23.30,46.80,23.75
2,2021,1,25,9,55,23.30,46.80,23.88
3,2021,1,25,10,5,23.30,46.10,23.94
4,2021,1,25,10,15,23.40,45.50,23.94
5,2021,1,25,10,25,23.40,45.40,23.88
6,2021,1,25,10,35,23.40,45.10,23.88
7,2021,1,25,10,45,23.40,44.50,23.88
8,2021,1,25,10,55,23.30,44.50,23.88
9,2021,1,25,11,5,23.30,44.20,23.88
10,2021,1,25,11,15,23.30,44.00,23.81
11,2021,1,25,11,25,23.30,44.30,23.81
12,2021,1,25,11,35,23.30,43.70,23.88
13,2021,1,25,11,45,23.30,44.00,23.88
14,2021,1,25,11,55,23.30,44.50,23.81
15,2021,1,25,12,5,23.30,44.70,23.88
16,2021,1,25,12,15,23.30,44.90,23.88
17,2021,1,25,12,25,23.30,45.10,23.88
18,2021,1,25,12,35,23.30,44.90,23.88
19,2021,1,25,12,45,23.30,45.50,23.88
20,2021,1,25,12,55,23.40,46.90,23.94
21,2021,1,25,13,5,23.40,47.10,24.00
22,2021,1,25,13,15,23.40,47.20,24.00
23,2021,1,25,13,25,23.40,47.30,24.00
24,2021,1,25,13,35,23.50,47.50,24.00
25,2021,1,25,13,45,23.40,47.60,24.00
26,2021,1,25,13,55,23.40,47.70,24.00
27,2021,1,25,14,5,23.40,47.50,24.00
28,2021,1,25,14,15,23.40,47.60,23.94
29,2021,1,25,14,25,23.40,47.50,23.94
30,2021,1,25,14,35,23.40,47.60,24.00
31,2021,1,25,14,45,23.40,47.50,23.94
32,2021,1,25,14,55,23.40,47.50,23.94
33,2021,1,25,15,5,23.40,47.60,23.94
34,2021,1,25,15,15,23.40,47.70,23.94
35,2021,1,25,15,25,23.40,47.00,23.94
36,2021,1,25,15,35,23.40,46.90,24.00
37,2021,1,25,15,45,23.50,46.90,24.00
38,2021,1,25,15,55,23.50,47.00,24.00
39,2021,1,25,16,5,23.50,46.90,24.06
40,2021,1,25,16,15,23.50,47.00,24.06
41,2021,1,25,16,25,23.50,47.40,24.13
42,2021,1,25,16,35,23.40,47.50,24.00
43,2021,1,25,16,45,23.40,47.70,24.00
44,2021,1,25,16,55,23.40,47.80,24.00
45,2021,1,25,17,5,23.40,47.60,23.94
46,2021,1,25,17,15,23.30,47.30,23.94
47,2021,1,25,17,25,23.30,47.30,23.94
48,2021,1,25,17,35,23.30,47.40,23.94
49,2021,1,25,17,45,23.30,47.70,23.88
50,2021,1,25,17,55,23.30,48.10,23.88
51,2021,1,25,18,5,23.30,47.90,23.88
52,2021,1,25,18,15,23.20,48.00,23.88
53,2021,1,25,18,25,23.30,48.80,23.88
54,2021,1,25,18,35,23.30,48.60,23.94
55,2021,1,25,18,45,23.40,49.10,24.00
56,2021,1,25,18,55,23.40,48.60,24.00
57,2021,1,25,19,5,23.50,49.10,24.06
58,2021,1,25,19,15,23.50,49.10,24.13
59,2021,1,25,19,25,23.50,48.90,24.13
60,2021,1,25,19,35,23.50,48.50,24.13
61,2021,1,25,19,45,23.50,48.90,24.13
62,2021,1,25,19,55,23.50,48.80,24.13
63,2021,1,25,20,5,23.50,48.80,24.13
64,2021,1,25,20,15,23.50,48.70,24.13
65,2021,1,25,20,25,23.50,48.40,24.13
66,2021,1,25,20,35,23.50,48.80,24.13
67,2021,1,25,20,45,23.50,48.50,24.13
68,2021,1,25,20,55,23.60,48.70,24.13
69,2021,1,25,21,5,23.60,48.80,24.19
70,2021,1,25,21,15,23.60,49.20,24.19
71,2021,1,25,21,25,23.60,48.90,24.19
72,2021,1,25,21,35,23.60,48.90,24.19
73,2021,1,25,21,45,23.60,49.20,24.19
74,2021,1,25,21,55,23.60,49.00,24.25
75,2021,1,25,22,5,23.60,48.90,24.25
76,2021,1,25,22,15,23.70,49.20,24.25
77,2021,1,25,22,25,23.60,49.00,24.25
78,2021,1,25,22,35,23.70,49.20,24.25
79,2021,1,25,22,45,23.70,48.90,24.25
80,2021,1,25,22,55,23.60,48.90,24.19
81,2021,1,25,23,5,23.50,48.20,24.06
82,2021,1,25,23,15,23.40,48.00,24.00
83,2021,1,25,23,25,23.40,48.10,24.00
84,2021,1,25,23,35,23.40,47.60,23.94
85,2021,1,25,23,45,23.40,47.60,23.94
86,2021,1,25,23,55,23.30,47.40,23.94
87,2021,1,26,0,5,23.30,47.30,23.94
88,2021,1,26,0,15,23.30,47.40,23.88
89,2021,1,26,0,25,23.30,47.30,23.88
90,2021,1,26,0,35,23.30,47.30,23.88
91,2021,1,26,0,45,23.30,47.10,23.88
92,2021,1,26,0,55,23.30,47.30,23.88
93,2021,1,26,1,5,23.20,47.40,23.88
94,2021,1,26,1,15,23.20,47.20,23.88
95,2021,1,26,1,25,23.20,47.40,23.81
96,2021,1,26,1,35,23.20,47.20,23.81
97,2021,1,26,1,45,23.20,47.30,23.81
98,2021,1,26,1,55,23.20,47.40,23.88
99,2021,1,26,2,5,23.20,47.60,23.81
100,2021,1,26,2,15,23.20,47.60,23.81
101,2021,1,26,2,25,23.20,47.50,23.81
102,2021,1,26,2,35,23.20,47.60,23.81
103,2021,1,26,2,45,23.20,47.70,23.81
104,2021,1,26,2,55,23.20,47.80,23.81
105,2021,1,26,3,5,23.20,47.80,23.81
106,2021,1,26,3,15,23.20,47.80,23.81
107,2021,1,26,3,25,23.20,47.80,23.75
108,2021,1,26,3,35,23.20,48.00,23.81
109,2021,1,26,3,45,23.10,48.00,23.75
110,2021,1,26,3,55,23.20,48.00,23.75
111,2021,1,26,4,5,23.20,48.10,23.75
112,2021,1,26,4,15,23.20,48.20,23.75
113,2021,1,26,4,25,23.10,48.30,23.75
114,2021,1,26,4,35,23.10,48.20,23.75
115,2021,1,26,4,45,23.10,47.90,23.75
116,2021,1,26,4,55,23.10,48.10,23.75
117,2021,1,26,5,5,23.10,48.20,23.75
118,2021,1,26,5,15,23.10,48.00,23.75
119,2021,1,26,5,25,23.20,48.30,23.75
120,2021,1,26,5,35,23.10,48.10,23.75
121,2021,1,26,5,45,23.10,47.90,23.75
122,2021,1,26,5,55,23.10,47.80,23.75
123,2021,1,26,6,5,23.10,47.90,23.75
124,2021,1,26,6,15,23.10,48.00,23.75
125,2021,1,26,6,25,23.10,48.00,23.75
126,2021,1,26,6,35,23.10,47.80,23.75
127,2021,1,26,6,45,23.10,47.70,23.69
128,2021,1,26,6,55,23.20,48.40,23.75
129,2021,1,26,7,5,23.20,47.80,23.75
130,2021,1,26,7,15,23.10,47.70,23.69
131,2021,1,26,7,25,23.10,47.40,23.69
132,2021,1,26,7,35,23.10,47.40,23.69
133,2021,1,26,7,45,23.10,47.50,23.69
134,2021,1,26,7,55,23.10,47.60,23.69
135,2021,1,26,8,5,23.10,47.60,23.69
136,2021,1,26,8,15,23.10,47.90,23.69
137,2021,1,26,8,25,23.10,47.50,23.69
138,2021,1,26,8,35,23.10,47.80,23.69
139,2021,1,26,8,45,23.10,47.40,23.69
140,2021,1,26,8,55,23.00,47.60,23.63
141,2021,1,26,9,5,23.10,47.80,23.69
142,2021,1,26,9,15,23.10,47.60,23.69
143,2021,1,26,9,25,23.00,47.20,23.69
144,2021,1,26,9,35,23.10,47.00,23.69
145,2021,1,26,9,45,23.10,47.00,23.69
146,2021,1,26,9,55,23.10,46.90,23.69
147,2021,1,26,10,5,23.10,46.70,23.69
148,2021,1,26,10,15,23.10,46.60,23.69
149,2021,1,26,10,25,23.10,47.00,23.69
150,2021,1,26,10,35,23.10,46.70,23.69
151,2021,1,26,10,45,23.10,46.60,23.69
152,2021,1,26,10,55,23.00,47.10,23.69
153,2021,1,26,11,5,23.10,46.80,23.63
154,2021,1,26,11,15,23.00,46.70,23.69
155,2021,1,26,11,25,23.10,46.70,23.69
156,2021,1,26,11,35,23.00,46.50,23.69
157,2021,1,26,11,45,23.10,46.50,23.69
158,2021,1,26,11,55,23.10,46.30,23.69
159,2021,1,26,12,5,23.10,46.30,23.69
160,2021,1,26,12,15,23.00,46.20,23.69
161,2021,1,26,12,25,23.00,46.10,23.63
162,2021,1,26,12,35,23.00,46.00,23.63
163,2021,1,26,12,45,23.00,46.00,23.63
164,2021,1,26,12,55,23.00,45.90,23.63
165,2021,1,26,13,5,23.00,45.80,23.63
166,2021,1,26,13,15,23.10,45.80,23.69
167,2021,1,26,13,25,23.10,45.80,23.69
168,2021,1,26,13,35,23.00,45.80,23.69
169,2021,1,26,13,45,23.00,45.80,23.69
170,2021,1,26,13,55,23.10,45.90,23.69
171,2021,1,26,14,5,23.10,47.00,23.75
172,2021,1,26,14,15,23.10,46.50,23.75
173,2021,1,26,14,25,23.10,46.50,23.69
174,2021,1,26,14,35,23.10,46.70,23.69
175,2021,1,26,14,45,23.10,46.50,23.69
176,2021,1,26,14,55,23.10,46.40,23.69
177,2021,1,26,15,5,23.00,46.30,23.69
178,2021,1,26,15,15,23.00,46.30,23.63
179,2021,1,26,15,25,23.00,46.20,23.63
180,2021,1,26,15,35,23.00,46.20,23.63
181,2021,1,26,15,45,23.00,46.30,23.63
182,2021,1,26,15,55,23.00,46.30,23.63
183,2021,1,26,16,5,23.00,46.20,23.63
184,2021,1,26,16,15,23.00,46.20,23.63
185,2021,1,26,16,25,23.00,46.20,23.63
186,2021,1,26,16,35,23.10,46.50,23.63
187,2021,1,26,16,45,23.10,46.90,23.69
188,2021,1,26,16,55,23.10,47.20,23.69
189,2021,1,26,17,5,23.10,47.50,23.69
190,2021,1,26,17,15,23.10,47.50,23.69
191,2021,1,26,17,25,23.00,47.60,23.69
192,2021,1,26,17,35,23.00,47.30,23.63
193,2021,1,26,17,45,23.00,47.40,23.63
194,2021,1,26,17,55,23.00,47.00,23.63
195,2021,1,26,18,5,23.00,47.30,23.56
196,2021,1,26,18,15,23.10,46.90,23.69
197,2021,1,26,18,25,23.10,46.50,23.75
198,2021,1,26,18,35,23.20,46.70,23.81
199,2021,1,26,18,45,23.20,47.00,23.81
200,2021,1,26,18,55,23.30,46.90,23.88
201,2021,1,26,19,5,23.30,46.90,23.94
202,2021,1,26,19,15,23.40,47.40,23.94
203,2021,1,26,19,25,23.30,47.40,23.94
204,2021,1,26,19,35,23.40,47.90,24.00
205,2021,1,26,19,45,23.40,48.40,24.00
206,2021,1,26,19,55,23.40,48.80,24.00
207,2021,1,26,20,5,23.40,49.30,24.00
208,2021,1,26,20,15,23.30,49.90,23.94
209,2021,1,26,20,25,23.30,50.20,23.94
210,2021,1,26,20,35,23.30,50.70,23.88
211,2021,1,26,20,45,23.30,50.30,23.94
212,2021,1,26,20,55,23.30,50.80,23.94
213,2021,1,26,21,5,23.30,51.00,23.94
214,2021,1,26,21,15,23.20,50.60,23.88
215,2021,1,26,21,25,23.30,50.70,23.88
216,2021,1,26,21,35,23.30,50.50,23.94
217,2021,1,26,21,45,23.30,50.30,23.94
218,2021,1,26,21,55,23.30,50.00,23.88
219,2021,1,26,22,5,23.20,49.10,23.81
220,2021,1,26,22,15,23.20,48.80,23.75
221,2021,1,26,22,25,23.10,48.60,23.75
222,2021,1,26,22,35,23.10,48.60,23.69
223,2021,1,26,22,45,23.10,48.20,23.69
224,2021,1,26,22,55,23.00,48.20,23.69
225,2021,1,26,23,5,23.00,48.00,23.69
226,2021,1,26,23,15,23.00,47.80,23.69
227,2021,1,26,23,25,23.00,47.80,23.69
228,2021,1,26,23,35,23.00,47.90,23.63
229,2021,1,26,23,45,23.00,48.10,23.69
230,2021,1,26,23,55,23.00,48.00,23.69
231,2021,1,27,0,5,23.00,47.90,23.69
232,2021,1,27,0,15,23.00,48.00,23.69
233,2021,1,27,0,25,23.00,47.60,23.63
234,2021,1,27,0,35,23.00,47.50,23.63
235,2021,1,27,0,45,23.00,47.40,23.63
236,2021,1,27,0,55,23.00,47.30,23.63
237,2021,1,27,1,5,23.00,47.20,23.56
238,2021,1,27,1,15,22.90,47.00,23.56
239,2021,1,27,1,25,22.90,47.00,23.63
240,2021,1,27,1,35,22.90,46.90,23.56
241,2021,1,27,1,45,22.90,46.90,23.56
242,2021,1,27,1,55,22.90,46.90,23.56
243,2021,1,27,2,5,22.90,46.80,23.56
244,2021,1,27,2,15,22.90,46.80,23.56
245,2021,1,27,2,25,22.90,46.80,23.56
246,2021,1,27,2,35,22.90,46.80,23.56
247,2021,1,27,2,45,22.90,46.80,23.56
248,2021,1,27,2,55,22.90,46.80,23.56
249,2021,1,27,3,5,22.90,46.90,23.56
250,2021,1,27,3,15,22.90,46.80,23.56
251,2021,1,27,3,25,22.90,46.80,23.56
252,2021,1,27,3,35,22.90,46.80,23.56
253,2021,1,27,3,45,22.90,46.90,23.50
254,2021,1,27,3,55,22.90,47.00,23.56
255,2021,1,27,4,5,22.90,47.00,23.56
256,2021,1,27,4,15,22.90,47.10,23.56
257,2021,1,27,4,25,22.90,47.50,23.56
258,2021,1,27,4,35,23.00,48.40,23.56
259,2021,1,27,4,45,22.90,48.00,23.56
260,2021,1,27,4,55,22.90,48.20,23.56
261,2021,1,27,5,5,23.00,48.50,23.56
262,2021,1,27,5,15,22.90,48.60,23.50
263,2021,1,27,5,25,22.90,48.60,23.50
264,2021,1,27,5,35,22.90,48.50,23.50
265,2021,1,27,5,45,22.90,48.60,23.50
266,2021,1,27,5,55,22.90,48.60,23.50
267,2021,1,27,6,5,22.90,48.40,23.50
268,2021,1,27,6,15,22.90,47.90,23.50
269,2021,1,27,6,25,22.90,47.90,23.56
270,2021,1,27,6,35,23.00,48.10,23.63
271,2021,1,27,6,45,23.00,48.00,23.63
272,2021,1,27,6,55,23.00,47.90,23.63
273,2021,1,27,7,5,23.00,47.90,23.63
274,2021,1,27,7,15,23.00,47.80,23.63
275,2021,1,27,7,25,23.00,47.70,23.63
276,2021,1,27,7,35,23.00,47.60,23.63
277,2021,1,27,7,45,23.10,47.90,23.69
278,2021,1,27,7,55,23.10,47.70,23.69
279,2021,1,27,8,5,23.10,48.00,23.69
280,2021,1,27,8,15,23.20,48.20,23.69
281,2021,1,27,8,25,23.10,48.00,23.69
282,2021,1,27,8,35,23.20,48.40,23.69
283,2021,1,27,8,45,23.20,48.90,23.75
284,2021,1,27,8,55,23.20,48.90,23.75
285,2021,1,27,9,5,23.20,47.90,23.69
286,2021,1,27,9,15,23.20,47.10,23.69
287,2021,1,27,9,25,23.10,46.30,23.69
288,2021,1,27,9,35,23.20,46.00,23.69
289,2021,1,27,9,45,23.20,45.70,23.69
290,2021,1,27,9,55,23.20,45.00,23.69
291,2021,1,27,10,5,23.20,45.00,23.69
292,2021,1,27,10,15,23.20,44.80,23.69
293,2021,1,27,10,25,23.30,45.20,23.75
294,2021,1,27,10,35,23.30,45.00,23.81
295,2021,1,27,10,45,23.40,44.90,23.81
296,2021,1,27,10,55,23.40,44.80,23.81
297,2021,1,27,11,5,23.40,44.60,23.81
298,2021,1,27,11,15,23.30,44.40,23.88
299,2021,1,27,11,25,23.30,43.90,23.75
300,2021,1,27,11,35,23.20,44.20,23.75
301,2021,1,27,11,45,23.20,44.40,23.75
302,2021,1,27,11,55,23.20,44.90,23.75
303,2021,1,27,12,5,23.30,45.30,23.81
304,2021,1,27,12,15,23.30,45.40,23.81
305,2021,1,27,12,25,23.40,45.80,23.81
306,2021,1,27,12,35,23.40,46.00,23.88
307,2021,1,27,12,45,23.40,46.00,23.88
308,2021,1,27,12,55,23.40,46.30,23.88
309,2021,1,27,13,5,23.40,46.10,23.88
310,2021,1,27,13,15,23.30,46.20,23.81
311,2021,1,27,13,25,23.30,46.80,23.81
312,2021,1,27,13,35,23.40,47.70,23.88
313,2021,1,27,13,45,23.40,47.70,23.94
314,2021,1,27,13,55,23.40,48.30,23.94
315,2021,1,27,14,5,23.50,48.40,23.94
316,2021,1,27,14,15,23.40,48.40,23.94
317,2021,1,27,14,25,23.50,48.70,23.94
318,2021,1,27,14,35,23.40,48.60,23.94
319,2021,1,27,14,45,23.40,48.30,23.88
320,2021,1,27,14,55,23.40,48.40,23.94
321,2021,1,27,15,5,23.40,48.20,23.94
322,2021,1,27,15,15,23.40,48.30,23.94
323,2021,1,27,15,25,23.40,48.30,23.94
324,2021,1,27,15,35,23.30,48.20,23.88
325,2021,1,27,15,45,23.30,48.10,23.81
326,2021,1,27,15,55,23.20,48.00,23.81
327,2021,1,27,16,5,23.20,48.00,23.75
328,2021,1,27,16,15,23.20,47.70,23.75
329,2021,1,27,16,25,23.20,48.00,23.75
330,2021,1,27,16,35,23.20,48.00,23.75
331,2021,1,27,16,45,23.20,48.10,23.75
332,2021,1,27,16,55,23.20,48.70,23.75
333,2021,1,27,17,5,23.20,49.50,23.75
334,2021,1,27,17,15,23.20,49.60,23.75
335,2021,1,27,17,25,23.20,49.70,23.75
336,2021,1,27,17,35,23.20,49.60,23.75
337,2021,1,27,17,45,23.10,49.30,23.69
338,2021,1,27,17,55,23.10,49.20,23.69
339,2021,1,27,18,5,23.10,49.10,23.69
340,2021,1,27,18,15,23.10,49.10,23.69
341,2021,1,27,18,25,23.00,48.80,23.63
342,2021,1,27,18,35,23.10,48.80,23.63
343,2021,1,27,18,45,23.10,48.80,23.69
344,2021,1,27,18,55,23.20,47.90,23.75
345,2021,1,27,19,5,23.20,48.70,23.81
346,2021,1,27,19,15,23.20,48.00,23.81
347,2021,1,27,19,25,23.30,47.70,23.81
348,2021,1,27,19,35,23.30,47.20,23.81
349,2021,1,27,19,45,23.20,47.10,23.75
350,2021,1,27,19,55,23.20,46.40,23.81
351,2021,1,27,20,5,23.20,45.80,23.75
352,2021,1,27,20,15,23.20,45.60,23.75
353,2021,1,27,20,25,23.20,45.20,23.75
354,2021,1,27,20,35,23.20,45.00,23.75
355,2021,1,27,20,45,23.10,44.40,23.69
356,2021,1,27,20,55,23.10,44.40,23.63
357,2021,1,27,21,5,23.00,44.40,23.63
358,2021,1,27,21,15,23.00,44.40,23.56
359,2021,1,27,21,25,23.00,44.60,23.56
360,2021,1,27,21,35,23.00,44.60,23.56
361,2021,1,27,21,45,23.00,44.90,23.56
